,E,H,H+,H2,C,C+,O+,O,OH+,OH,H2O,H2O+,H3O+,CO,CO+,HCO+
523.6327813306593,1.77511540258538e-07,0.0005948468412184403,1.0000000000621373e-16,9999.999702576582,0.9999998224884894,1.775115109351023e-07,2.930010663511062e-14,1.9999999999999702,2.225904303040082e-16,1.0000002937142815e-16,9.999995957681236e-17,1.0041890700940725e-16,1.0031978208989333e-16,9.999999834038835e-17,9.961952099658122e-17,1.0038047899274325e-16
537.0785876251764,1.82069668878116e-07,0.0006101212769778041,1.0000000000653651e-16,9999.999694939364,0.9999998179303615,1.8206963880171512e-07,3.0046688070975045e-14,1.9999999999999696,2.2894378225284834e-16,1.0000003012565058e-16,9.999995853886189e-17,1.0044103689488717e-16,1.003280168839455e-16,9.999999829805481e-17,9.960977017016485e-17,1.0039022981860445e-16
550.8696544025282,1.8674484078712845e-07,0.0006257879286286398,1.0000000000687605e-16,9999.99968710604,0.9999998132551904,1.8674480993842785e-07,3.0812273336306895e-14,1.9999999999999687,2.356262149600754e-16,1.0000003089924121e-16,9.999995747426073e-17,1.0046462982675021e-16,1.0033646544453976e-16,9.999999825464888e-17,9.959976995419691e-17,1.0040023003398834e-16
565.0148472374794,1.9154006141393207e-07,0.0006418568674628127,1.0000000000723321e-16,9999.999679071569,0.9999998084599705,1.9154002977310071e-07,3.159734177075463e-14,1.999999999999968,2.426547472097337e-16,1.0000003169269743e-16,9.999995638232464e-17,1.0048979385978338e-16,1.0034513347120726e-16,9.99999982101438e-17,9.958951399633786e-17,1.0041048599123299e-16
579.523259354414,1.96458413360008e-07,0.0006583384233820951,1.0000000000760892e-16,9999.999670830792,0.9999998035416193,1.9645838090670554e-07,3.2402384576096346e-14,1.9999999999999671,2.500472755372329e-16,1.0000003250652942e-16,9.999995526235183e-17,1.0051664538202704e-16,1.003540268278969e-16,9.999999816451214e-17,9.957899578380204e-17,1.0042100420312246e-16
594.4042174728977,2.0150305838160166e-07,0.0006752431915387224,1.0000000000800413e-16,9999.999662378406,0.9999997984969752,2.0150302509496556e-07,3.322790509786042e-14,1.9999999999999662,2.5782261930183487e-16,1.0000003334126048e-16,9.999995411362246e-17,1.0054530976743075e-16,1.0036315154869955e-16,9.999999811772581e-17,9.9568208639376e-17,1.0043179134686854e-16
609.6672878033585,2.06677239422253e-07,0.0006925820391464827,1.0000000000841984e-16,9999.999653708983,0.999999793322795,2.0667720528088496e-07,3.407441911300259e-14,1.9999999999999656,2.6600056805765123e-16,1.0000003419742732e-16,9.999995293539821e-17,1.0057592207990388e-16,1.0037251384384183e-16,9.999999806975606e-17,9.955714571734152e-17,1.004428542681877e-16
625.3222821967132,2.1198428269751347e-07,0.0007103661124666888,1.0000000000885713e-16,9999.999644816946,0.9999997880157525,2.1198424767946574e-07,3.4942455123733774e-14,1.9999999999999647,2.746019313390662e-16,1.0000003507558045e-16,9.999995172692185e-17,1.006086278328162e-16,1.003821201059663e-16,9.999999802057341e-17,9.954579999930168e-17,1.0045419998547503e-16
641.3792644519036,2.1742759983319458e-07,0.0007286068439735359,1.0000000000931711e-16,9999.99963569658,0.9999997825724363,2.1742756391595584e-07,3.583255465759475e-14,1.9999999999999636,2.8364859098226597e-16,1.0000003597628454e-16,9.999995048741667e-17,1.0064358380832405e-16,1.0039197691671613e-16,9.999999797014772e-17,9.953416428990744e-17,1.0046583569407763e-16
657.8485567854085,2.2301069005852534e-07,0.0007473159597034628,1.0000000000980095e-16,9999.999626342023,0.9999997769893471,2.2301065321900624e-07,3.674527257387263e-14,1.9999999999999627,2.9316355611057294e-16,1.0000003690011874e-16,9.999994921608606e-17,1.0068095894124307e-16,1.004020910536435e-16,9.99999979184481e-17,9.952223121248288e-17,1.0047776877066939e-16
674.7407464668614,2.2873714245561977e-07,0.0007665054867932093,1.0000000001030992e-16,9999.99961674726,0.9999997712628955,2.2873710467013803e-07,3.768117737645159e-14,1.9999999999999618,3.0317102091757245e-16,1.000000378476771e-16,9.999994791211291e-17,1.0072093527256131e-16,1.0041246949746266e-16,9.999999786544292e-17,9.950999320454684e-17,1.0049000677772933e-16
692.0666926250764,2.3461063826671187e-07,0.0007861877612114575,1.0000000001084528e-16,9999.999606906122,0.9999997653894007,2.346105995109772e-07,3.864085153319253e-14,1.999999999999961,3.136964253886647e-16,1.0000003881956888e-16,9.999994657465918e-17,1.0076370897808888e-16,1.0042311943966975e-16,9.99999978110998e-17,9.949744251322865e-17,1.0050255746812587e-16
709.8375332288248,2.4063495326063127e-07,0.0008063754356889901,1.0000000001140842e-16,9999.999596812284,0.9999997593650867,2.406349135097295e-07,3.962489180193129e-14,1.9999999999999598,3.2476651910856054e-16,1.0000003981641905e-16,9.99999452028653e-17,1.0080949147817454e-16,1.004340482905536e-16,9.999999775538557e-17,9.948457119057587e-17,1.0051542878980908e-16
728.0646922468651,2.468139601600444e-07,0.0008270814878524777,1.0000000001200077e-16,9999.999586459258,0.9999997531860808,2.4681391938842173e-07,4.0633909563186496e-14,1.9999999999999587,3.3640942830952367e-16,1.0000004083886861e-16,9.999994379584963e-17,1.0085851063488727e-16,1.00445263687623e-16,9.999999769826631e-17,9.947137108875161e-17,1.0052862889061335e-16
746.7598869918397,2.531516311310272e-07,0.000848319228567142,1.0000000001262384e-16,9999.999575840387,0.9999997468484109,2.531515893124737e-07,4.166853115966599e-14,1.9999999999999578,3.486547263227598e-16,1.0000004188757501e-16,9.99999423527079e-17,1.0091101204356735e-16,1.0045677350447826e-16,9.999999763970726e-17,9.945783385511924e-17,1.0054216612317271e-16
765.9351356527277,2.5965204033655696e-07,0.0008701023104936158,1.0000000001327925e-16,9999.999564948846,0.9999997403480028,2.5965199744418944e-07,4.272939824265655e-14,1.9999999999999567,3.615335076032816e-16,1.0000004296321262e-16,9.999994087251266e-17,1.0096726042619547e-16,1.0046858586015658e-16,9.999999757967287e-17,9.944395092721203e-17,1.0055604904995111e-16
785.6027650207369,2.663193665555798e-07,0.0008924447368645511,1.0000000001396864e-16,9999.999553777634,0.9999997336806776,2.663193225618251e-07,4.381716812538377e-14,1.9999999999999556,3.750784655069664e-16,1.000000440664731e-16,9.999993935431261e-17,1.010275411346179e-16,1.0048070912898347e-16,9.999999751812669e-17,9.942971352758546e-17,1.005702864483902e-16
805.7754184135665,2.731578958693257e-07,0.0009153608704865751,1.0000000001469379e-16,9999.999542319567,0.9999997268421494,2.7315785074590243e-07,4.493251414342196e-14,1.9999999999999545,3.893239740071916e-16,1.000000451980659e-16,9.999993779713205e-17,1.0109216177229962e-16,1.0049315195096432e-16,9.999999745503146e-17,9.941511265854962e-17,1.005848873161768e-16
826.4660638031469,2.80172024416601e-07,0.0009388654429733967,1.0000000001545653e-16,9999.99953056728,0.999999719828022,2.801719781345016e-07,4.6076126022234203e-14,1.9999999999999531,4.0430617354760704e-16,1.000000463587187e-16,9.999993619997024e-17,1.011614539439629e-16,1.0050592324275297e-16,9.999999739034906e-17,9.94001390967795e-17,1.0059986087663274e-16
847.6880021520999,2.873662612198371e-07,0.0009629735642160178,1.0000000001625884e-16,9999.99951851322,0.9999997126337864,2.8736621374930915e-07,4.724871025191986e-14,1.999999999999952,4.200630612371669e-16,1.0000004754917786e-16,9.999993456180076e-17,1.0123577514320777e-16,1.0051903220923739e-16,9.999999732404042e-17,9.93847833878005e-17,1.0061521658422925e-16
869.454875964238,2.9474523108369736e-07,0.0009877007320960947,1.0000000001710275e-16,9999.999506149636,0.9999997052548177,2.947451823942245e-07,4.845099046924046e-14,1.9999999999999507,4.366345856035084e-16,1.000000487702089e-16,9.999993288157082e-17,1.0131551078900799e-16,1.0053248835578467e-16,9.999999725606558e-17,9.93690358403466e-17,1.0063096413022878e-16
891.7806780546466,3.023136775681227e-07,0.0010130628424487428,1.000000000179904e-16,9999.99949346858,0.9999996976863724,3.023136276284049e-07,4.968370784699584e-14,1.9999999999999496,4.540627461313024e-16,1.0000005002259705e-16,9.999993115820062e-17,1.014010764228372e-16,1.0054630150119182e-16,9.999999718638367e-17,9.935288652058905e-17,1.0064711344845635e-16
914.6797605449484,3.10076466037712e-07,0.0010390761992811498,1.0000000001892408e-16,9999.999480461902,0.9999996899235852,3.100764148156456e-07,5.0947621490813976e-14,1.9999999999999483,4.723916978230899e-16,1.0000005130714767e-16,9.999992939058265e-17,1.0149292007910775e-16,1.0056048179139123e-16,9.999999711495284e-17,9.933632524623245e-17,1.0066367472120343e-16
938.1668440895451,3.1803858678940465e-07,0.0010657575252535792,1.0000000001990615e-16,9999.999467121239,0.9999996819614658,3.180385342520616e-07,5.224350884341628e-14,1.999999999999947,4.916678610316177e-16,1.0000005262468684e-16,9.999992757758098e-17,1.0159152484260706e-16,1.0057503971396472e-16,9.999999704173029e-17,9.931934158047622e-17,1.0068065838526647e-16
962.2570273387902,3.2620515826048044e-07,0.0010931239724295226,1.0000000002093913e-16,9999.999453438017,0.9999996737948957,3.262051043740871e-07,5.357216609641573e-14,1.9999999999999456,5.119400368246788e-16,1.0000005397606182e-16,9.99999257180305e-17,1.0169741160769712e-16,1.0058998611352281e-16,9.999999696667219e-17,9.930192482583825e-17,1.0069807513812322e-16
986.9657966451279,3.345814303189256e-07,0.0011211931333018686,1.0000000002202565e-16,9999.999439403435,0.999999665418625,3.3458137504884117e-07,5.493440860969679e-14,1.999999999999944,5.332595281559409e-16,1.0000005536214171e-16,9.999992381073622e-17,1.0181114205520896e-16,1.0060533220801126e-16,9.999999688973375e-17,9.928406401783877e-17,1.0071593594424891e-16
1012.3090360184956,3.4317278763829716e-07,0.0011499830521022275,1.0000000002316846e-16,9999.999425008476,0.9999996568272691,3.431727309489914e-07,5.633107133842527e-14,1.9999999999999427,5.556802671284253e-16,1.0000005678381787e-16,9.999992185447248e-17,1.0193332186422288e-16,1.0062108960601127e-16,9.999999681086913e-17,9.926574791854108e-17,1.0073425204157536e-16
1038.30303733733,3.519847531592367e-07,0.0011795122364006245,1.0000000002437051e-16,9999.999410243883,0.999999648015305,3.519846950142668e-07,5.77630092677247e-14,1.9999999999999412,5.792589486509071e-16,1.0000005824200461e-16,9.999991984798214e-17,1.0206460417728264e-16,1.0063727032510473e-16,9.999999673003144e-17,9.924696500994714e-17,1.0075303494809561e-16
1064.9645108217996,3.610229916398779e-07,0.0012097996690030837,1.0000000002563483e-16,9999.999395100167,0.999999638977068,3.6102293200186557e-07,5.923109785505527e-14,1.9999999999999398,6.040551708019052e-16,1.0000005973763969e-16,9.999991778997583e-17,1.0220569333905776e-16,1.0065388681138148e-16,9.999999664717269e-17,9.922770348724468e-17,1.007722964686166e-16
1092.31059577595,3.7029331329741425e-07,0.00124086482015469,1.0000000002696466e-16,9999.999379567591,0.9999996297067478,3.7029325212802115e-07,6.073623348031829e-14,1.9999999999999383,6.301315822307974e-16,1.0000006127168498e-16,9.999991567913103e-17,1.0235734893004835e-16,1.0067095196017168e-16,9.999999656224385e-17,9.920795125190362e-17,1.0079204870166278e-16
1120.358871605682,3.798016775431733e-07,0.0012727276600560042,1.0000000002836337e-16,9999.999363636172,0.9999996201983854,3.798016148030766e-07,6.227933397411912e-14,1.999999999999937,6.575538964333995e-16,1.0000006284512332e-16,9.999991351409123e-17,1.0252047560508561e-16,1.0068846374595807e-16,9.999999647519477e-17,9.918769590452879e-17,1.0081230404662342e-16
1149.1273691196725,3.8955419681360735e-07,0.001305408671700894,1.000000000298345e-16,9999.999347295667,0.9999996104458677,3.8955413246247475e-07,6.386133991320116e-14,1.9999999999999352,6.863893984285871e-16,1.0000006445891415e-16,9.999991129346353e-17,1.0269713516459376e-16,1.007062238920307e-16,9.99999963859741e-17,9.916692473658401e-17,1.0083307521202855e-16
1178.634582120446,3.995571404996441e-07,0.00133892886404398,1.0000000003138177e-16,9999.999330535571,0.9999996004429257,3.9955707449610755e-07,6.54832135910979e-14,1.9999999999999336,7.167101140716845e-16,1.0000006611407522e-16,9.999990901582033e-17,1.0288872711737048e-16,1.0072416644220678e-16,9.999999629452941e-17,9.914562472494272e-17,1.008543752209982e-16
1208.8994792931142,4.0981693897694526e-07,0.0013733097855062296,1.0000000003300913e-16,9999.99931334511,0.999999590183129,4.0981687127857445e-07,6.714593981056878e-14,1.9999999999999318,7.485923679084039e-16,1.0000006781166649e-16,9.999990667969794e-17,1.0309637225788287e-16,1.0074228966312959e-16,9.999999620080706e-17,9.912378252395518e-17,1.0087621741917525e-16
1239.9415163993717,4.203401877396466e-07,0.0014085735378273217,1.000000000347207e-16,9999.999295713234,0.999999579659882,4.203401183029217e-07,6.885052666523109e-14,1.9999999999999303,7.821163870047846e-16,1.0000006955277515e-16,9.999990428359505e-17,1.0332127405167288e-16,1.0076059206085935e-16,9.999999610475223e-17,9.910138445737465e-17,1.0089861548279921e-16
1271.7806487846067,4.3113365164024137e-07,0.0014447427902737088,1.0000000003652086e-16,9999.999277628607,0.9999995688664198,4.3113358042052506e-07,7.059800603592801e-14,1.9999999999999283,8.173664987536386e-16,1.0000007133851628e-16,9.999990182597189e-17,1.0356472478925153e-16,1.0077907245060657e-16,9.999999600630887e-17,9.90784165104911e-17,1.0092158342657252e-16
1304.4373442061951,4.4220426923834454e-07,0.0014818407942115445,1.0000000003841415e-16,9999.999259079606,0.9999995577958041,4.4220419618985333e-07,7.238943409472625e-14,1.9999999999999265,8.544313385641892e-16,1.0000007317003359e-16,9.999989930524911e-17,1.0382811220472935e-16,1.0079773003542144e-16,9.999999590541971e-17,9.905486432209491e-17,1.0094513561169687e-16
1337.9325959911582,4.5355915726110935e-07,0.001519891398053764,1.000000000404054e-16,9999.999240054303,0.9999995464409179,4.53559082336884e-07,7.422589181648243e-14,1.9999999999999247,8.934040679169295e-16,1.0000007504850015e-16,9.999989671980688e-17,1.0411292659473853e-16,1.0081656449474671e-16,9.999999580202619e-17,9.903071317626761e-17,1.0096928675408225e-16
1372.2879365317224,4.6520561517819116e-07,0.0015589190625910237,1.0000000004249966e-16,9999.999220540472,0.9999995347944619,4.6520553833006675e-07,7.61084854979127e-14,1.9999999999999227,9.343826032884532e-16,1.0000007697511917e-16,9.999989406798376e-17,1.0442076847595162e-16,1.0083557608382444e-16,9.99999956960685e-17,9.900594799399729e-17,1.0099405193273179e-16
1407.525451127391,4.771511298941775e-07,0.0015989488767162755,1.0000000004470226e-16,9999.999200525564,0.9999995228489491,4.771510510727523e-07,7.803834728407722e-14,1.9999999999999207,9.774698564743683e-16,1.0000007895112477e-16,9.99998913480757e-17,1.0475335682246207e-16,1.0085476574503636e-16,9.99999955874855e-17,9.898055332461547e-17,1.0101944659830467e-16
1443.6677921824496,4.894033805615077e-07,0.0016400065735531133,1.0000000004701877e-16,9999.999179996716,0.9999995105967006,4.894032997161113e-07,8.001663570218039e-14,1.9999999999999187,1.0227739868630375e-15,1.0000008097778281e-16,9.999988855833492e-17,1.0511253792748501e-16,1.0087413523235561e-16,9.999999547621473e-17,9.895451333705314e-17,1.0104548658186011e-16
1480.7381937680645,5.019702435169888e-07,0.0016821185469982972,1.0000000004945509e-16,9999.99915894073,0.9999994980298397,5.0197016059565e-07,8.204453620257288e-14,1.9999999999999167,1.0704086662384935e-15,1.0000008305639169e-16,9.999988569696878e-17,1.0550029493727763e-16,1.0089368725019269e-16,9.999999536219239e-17,9.892781181091314e-17,1.01072188103785e-16
1518.7604865582598,5.148597973450534e-07,0.0017253118686889996,1.0000000005201739e-16,9999.999137344068,0.9999994851402879,5.148597122944661e-07,8.412326170681682e-14,1.9999999999999145,1.1204933567173859e-15,1.0000008518828321e-16,9.999988276213866e-17,1.0591875810888698e-16,1.0091342560803416e-16,9.999999524535333e-17,9.890043212735615e-17,1.0109956778290784e-16
1557.7591131494657,5.280803280710469e-07,0.0017696143054057917,1.0000000005471216e-16,9999.99911519285,0.9999994719197594,5.280802408365366e-07,8.625405316266771e-14,1.9999999999999123,1.173153602452818e-15,1.0000008737482346e-16,9.999987975195874e-17,1.0637021584733258e-16,1.0093335539239646e-16,9.999999512563098e-17,9.887235725979781e-17,1.0112764264580161e-16
1597.7591437734113,5.416403344878557e-07,0.001815054336922464,1.0000000005754624e-16,9999.999092472835,0.9999994583597552,5.416402450133437e-07,8.843818010579652e-14,1.99999999999991,1.2285213357666383e-15,1.0000008961741372e-16,9.999987666449482e-17,1.0685712658213971e-16,1.0095348315775304e-16,9.999999500295738e-17,9.884356976441439e-17,1.0115643013627808e-16
1638.78629241349,5.555485336193116e-07,0.0018616611743141932,1.0000000006052683e-16,9999.999069169417,0.9999994444515584,5.555484418472793e-07,9.067694122806149e-14,1.9999999999999079,1.2867351984020046e-15,1.0000009191749137e-16,9.999987349776308e-17,1.0738213154778678e-16,1.0097381713823949e-16,9.999999487726312e-17,9.881405177045437e-17,1.0118594812507616e-16
1680.8669333349933,5.698138663238934e-07,0.0019094647787358608,1.0000000006366146e-16,9999.999045267614,0.999999430186228,5.698137721953452e-07,9.297166495211692e-14,1.9999999999999054,1.3479408786193997e-15,1.0000009427653081e-16,9.999987024972879e-17,1.0794806853763851e-16,1.009943674821004e-16,9.999999474847734e-17,9.878378497035359e-17,1.0121621491974678e-16
1724.0281180397562,5.844455030423032e-07,0.001958495880682501,1.0000000006695808e-16,9999.999020752062,0.9999994155545937,5.844454064967286e-07,9.53237100121163e-14,1.999999999999903,1.412291464891723e-15,1.0000009669604453e-16,9.999986691830505e-17,1.0855798670633568e-16,1.0101514651101462e-16,9.999999461652775e-17,9.875275060965153e-17,1.0124724927473653e-16
1768.2975926562153,5.994528496926447e-07,0.0020087859997443796,1.0000000007042503e-16,9999.998995607004,0.9999994005472496,5.994527506679796e-07,9.773446604025365e-14,1.9999999999999005,1.4799478169882524e-15,1.0000009917758404e-16,9.999986350135137e-17,1.0921516250143505e-16,1.0103616900662232e-16,9.999999448134052e-17,9.872092947670629e-17,1.0127907040167265e-16
1813.7038157759712,6.148455537169627e-07,0.0020603674648692963,1.0000000007407108e-16,9999.99896981627,0.9999993851545481,6.14845452149549e-07,1.0020535415884903e-13,1.999999999999898,1.551078955272249e-15,1.0000010172274093e-16,9.999985999667237e-17,1.0992311681136692e-16,1.0105745252678056e-16,9.999999434284035e-17,9.868830189220618e-17,1.0131169797985142e-16
1860.2759767483585,6.306335102830458e-07,0.0021132734351451844,1.0000000007790546e-16,9999.998943363285,0.9999993693665942,6.306334061075912e-07,1.0273782757766491e-13,1.9999999999998954,1.6258624690737782e-15,1.0000010433314791e-16,9.999985640201637e-17,1.1068563342354542e-16,1.0107901775429387e-16,9.999999420095036e-17,9.865484769847556e-17,1.0134515216693227e-16
1908.0440144448166,6.468268686454875e-07,0.002167537921116401,1.0000000008193788e-16,9999.998916231043,0.9999993531732384,6.468267617950228e-07,1.0533337219610966e-13,1.9999999999998928,1.7044849450373474e-15,1.0000010701047997e-16,9.999985271507389e-17,1.1150677889376162e-16,1.0110088888110488e-16,9.999999405559219e-17,9.8620546248573e-17,1.0137945360983957e-16
1957.0386365050372,6.634360386700667e-07,0.0022231958066473135,1.0000000008617852e-16,9999.9988884021,0.9999993365640711,6.634359290759032e-07,1.0799350720994793e-13,1.99999999999989,1.7871424163832463e-15,1.0000010975645547e-16,9.999984893347625e-17,1.1239092393585237e-16,1.0112309403118825e-16,9.999999390668586e-17,9.858537639517973e-17,1.0141462345587415e-16
2007.2913390773695,6.804716975256784e-07,0.002280282871347366,1.000000000906381e-16,9999.998859858568,0.9999993195284151,6.804715851173635e-07,1.1071978572211552e-13,1.9999999999998872,1.8740408340627345e-15,1.0000011257283726e-16,9.999984505479397e-17,1.1334276644912132e-16,1.0114566572567159e-16,9.999999375414981e-17,9.854931647927636e-17,1.014506833640365e-16
2058.8344270660778,6.979447965480838e-07,0.002338835813571918,1.0000000009532788e-16,9999.998830582097,0.999999302055319,6.979446812533559e-07,1.1351379535719179e-13,1.9999999999998843,1.9653965608293363e-15,1.0000011546143397e-16,9.99998410765353e-17,1.1436735631012787e-16,1.0116864139401008e-16,9.999999359790095e-17,9.851234431860653e-17,1.0148765551656318e-16
2111.70103489851,7.158665682799061e-07,0.0023988922740137116,1.0000000010025971e-16,9999.998800553865,0.9999992841335502,7.158664500246483e-07,1.1637715887905285e-13,1.9999999999998814,2.0614368892927235e-15,1.0000011842410117e-16,9.999983699614453e-17,1.154701220653205e-16,1.011920639353705e-16,9.999999343785447e-17,9.847443719592544e-17,1.0152556263067808e-16
